NAME,ALIAS,CAP,ALIAS FREQ
REXFORD,REX,0.3456,0.99182
ELAINE,ELAI,0.56745,0.98148
SHERMAN,SHERM,0.4684,0.97423
EILEEN,EILE,0.56667,0.97396
VERONICA,VERONI,0.60321,0.97227
GLORIA,GLOR,0.64681,0.97187
NEWTON,NEWT,0.22733,0.97151
MILTON,MILT,0.60427,0.97102
GEORGE,GEO,0.75714,0.96938
ZEBULON,ZEB,0.25257,0.96901
VIVIAN,VIAN,0.35313,0.96857
VERNON,VEMON,0.66181,0.9669
DAVID,DAVE,0.59352,0.9645
GLADYCE,GLADYS,0.21069,0.9622
WALTER,WAHER,0.67791,0.95931
SCOTT,SCO,0.48304,0.95922
ROYLEE,ROY,0.48919,0.95769
AMMETTE,ANNETTE,0.57215,0.95763
COARY,GARY,0.62994,0.95708
KIMALA,KIM,0.2957,0.95652
GORDON,GORD,0.11858,0.95639
BARBARITA,BARBARA,0.2585,0.95516
JEMMIFER,JENNIFER,0.64725,0.95238
JOSHUA,JOSH,0.59515,0.95223
DAGOBERTO,DAGO,0.32305,0.95215
ETHELMAE,ETHEL,0.43038,0.952
CHADWICK,CHAD,0.47953,0.95162
ROFF,ROSS,0.43962,0.95102
SHARON,SHARM,0.53555,0.95048
ESPERANZA,ESPERAN,0.59513,0.94903
MYRNA,MYMA,0.4727,0.94863
LESLIE,LESUE,0.59542,0.94833
PAMELA,PAM,0.65858,0.94666
FERNANDO,FEMANDO,0.44521,0.9466
WALTER,WALT,0.632,0.94623
IVALEE,IVA,0.32609,0.94595
ETTAMAE,ETTA,0.56536,0.94536
IKECHUKWU,IKE,0.26949,0.94444
BARBARA,BARB,0.75143,0.94408
LISA,USA,0.147,0.94376
TIMOTHY,TIM,0.38098,0.94288
GITABEN,GITA,0.36364,0.94253
MARKHAM,MARK,0.22924,0.94231
JOSHUA,JOSH,0.29574,0.94224
BERNARD,BEMARD,0.55678,0.94218
MARYKUTTY,MARY,0.39597,0.94149
RAJKUMAR,RAJ,0.18534,0.94035
WOJCIECH,WOJTEK,0.2986,0.94
TIMOTHY,TIM,0.60781,0.9398
PRISCILLA,PRISALLA,0.54595,0.93954
JERRYLEE,JERRY,0.55556,0.93923
